model,task,tokens,latency_s,cost_usd,correct
o1,logic_1,256,,0.02,False
o1,math_1,635,,0.03,False
o1,code_1,192,,0.01,False
o1,logic_1,699,,0.04,False
o3,logic_1,432,,0.0,False
o1,math_1,635,,0.03,False
o3,math_1,335,,0.0,False
o1,code_1,447,,0.02,True
o3,code_1,426,,0.0,False
o1,logic_1,473,,0.03,False
o3,logic_1,207,,0.0,False
o1,math_1,1066,,0.06,False
o3,math_1,306,,0.0,True
o1,code_1,448,,0.03,False
o3,code_1,609,,0.0,False
o1,logic_1,473,,0.03,False
o3,logic_1,253,,0.0,False
o1,math_1,1066,,0.06,False
o3,math_1,498,,0.0,True
o1,code_1,1121,,0.06,False
o3,code_1,437,,0.0,True
o1,logic_1,485,,0.03,False
o3,logic_1,146,,0.0,True
o1,math_1,1066,,0.06,False
o3,math_1,242,,0.0,True
o1,code_1,1121,,0.06,False
o3,code_1,609,,0.0,False
o1,logic_1,485,,0.03,False
o3,logic_1,265,,0.0,False
o1,math_1,1066,,0.06,False
o3,math_1,370,,0.0,True
o1,code_1,1121,,0.06,False
o3,code_1,462,,0.0,True
o1,logic_1,485,,0.03,False
o3,logic_1,146,,0.0,True
o1,math_1,1066,,0.06,False
o3,math_1,554,,0.0,False
o1,code_1,291,,0.01,True
o3,code_1,609,,0.0,False
o1,logic_1,485,,0.03,False
o3,logic_1,210,,0.0,True
o1,math_1,1066,,0.06,False
o3,math_1,498,,0.0,True
o1,code_1,1121,,0.06,False
o3,code_1,609,,0.0,False
o1,logic_1,485,,0.03,False
o3,logic_1,210,,0.0,True
o1,math_1,1066,,0.06,False
o3,math_1,554,,0.0,False
o1,code_1,483,,0.02,True
o3,code_1,442,,0.0,True
o1,logic_1,201,,0.01,False
o3,logic_1,137,,0.0,False
o1,math_1,330,,0.02,False
o3,math_1,170,,0.0,False
o1,code_1,673,,0.04,True
o3,code_1,506,,0.0,True
o1,logic_1,201,3.76,0.00877,False
o3,logic_1,137,1.8,0.00066,False
o1,math_1,330,2.29,0.01791,False
o3,math_1,170,1.84,0.00111,False
o1,code_1,1377,7.85,0.07826,False
o3,code_1,378,3.17,0.00244,True
o1,logic_1,201,1.96,0.00877,False
o3,logic_1,137,1.33,0.00066,False
o1,math_1,330,2.18,0.01791,False
o3,math_1,170,1.84,0.00111,False
o1,code_1,483,11.91,0.02462,True
o3,code_1,629,5.43,0.00445,True
